No.,Time,Source,Destination,Protocol,Length,Info,source_file,predicted_label
1910,3.805657,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1813558 Win=2102272 Len=0,test_loic.csv,normal
1911,3.805669,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1813558 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1926],test_loic.csv,normal
1912,3.805766,185.188.41.131,192.168.1.192,TCP,1506,"64532  >  51205 [PSH, ACK] Seq=1815010 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1926]",test_loic.csv,normal
1913,3.805798,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1816462 Win=2102272 Len=0,test_loic.csv,normal
1914,3.806663,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1816462 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1926],test_loic.csv,normal
1915,3.806764,185.188.41.131,192.168.1.192,TCP,1506,"64532  >  51205 [PSH, ACK] Seq=1817914 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1926]",test_loic.csv,normal
1916,3.806764,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1819366 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1926],test_loic.csv,normal
1917,3.806794,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1820818 Win=2102272 Len=0,test_loic.csv,normal
1918,3.807748,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1820818 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1926],test_loic.csv,normal
1919,3.807776,192.168.1.192,185.188.41.131,TCP,54,51205  >  64532 [ACK] Seq=5200 Ack=1822270 Win=2102272 Len=0,test_loic.csv,normal
1920,3.807834,185.188.41.131,192.168.1.192,TCP,1506,64532  >  51205 [ACK] Seq=1822270 Ack=5200 Win=79872 Len=1452 [TCP PDU reassembled in 1926],test_loic.csv,normal
